1.    مقدمة عن البرنامج ودراسة سطح المكتب وتدريبات على استخدام الفأرة ببرنامج Accessories.,2,2,C01
2.    برامج وأدوات الويندوز .,2,3,C01
3.    إنشاء الملفات والمجلدات وكيفية التعامل معها من خلال Windows Explorer.,2,8,C01
4.    التعرف على نافذة Control Panel واستخداماتها.,2,4,C01
1.  مقدمة عن الشبكات وأساسيات الشبكة ومكوناتها.,2,0,C03
2.  أنواع الشبكات والبروتوكولات الخاصة بها.,3,0,C03
3.  طرق توصيل شبكات الحاسب.,5,0,C03
4.  مشاكل شبكات الحاسب مع تطبيقات وأمثلة على شبكات الحاسب السلكية واللاسلكية.,0,5,C03
1.  مقدمة عن مكونات الحاسب الآلي.,3,2,C04
2.  اللوحة الرئيسية والمعالجات (الأنواع والمشكلات).,3,2,C04
3.  أنواع الذاكرة ووحدات التخزين المختلفة.,3,2,C04
4.  مشاكل كروت الشاشة والشبكة.,3,2,C04
5.  مشاكل وحدات التغذية الكهربية (Power Supply).,3,2,C04
1.  مقدمة عن أنواع نظم التشغيل المختلفة.,2,0,C05
2.  العمل ببرامج المحاكاة الأجهزة الشخصية.,2,1,C05
3.  تركيب نظام التشغيل MS0Windows.,8,2,C05
4.  مشاكل نظام التشغيل MS0Windows.,4,1,C05
5.  تركيب نظام التشغيل  Linuxبإصداراته المختلفة والتعرف على مشاكله.,4,1,C05
1.  تحميل البرنامج وإعداده.,1,4,C06
2.  إدارة الخادم. ,1,4,C06
3.  التعامل مع الـ Active Directory.,2,8,C06
4.  متابعة مؤشرات الخادم.,1,4,C06
1.    مقدمة عن مكونات الحاسب الشخصي وملحقاته ونظام التشغيل Window MS0.,3,2,C08
2.    برنامج معالجة النصوص باستخدام MS0Word.,2,3,C08
3.    برنامج الجداول الإلكترونية باستخدام MS0Excel.,2,3,C08
4.    برنامج تصميم وتشغيل العروض التقديمية باستخدام MS0Power Point.,2,3,C08
5.    برنامج إدارة المكاتب باستخدام MS0Outlook. ,2,3,C08
1.    مفهوم الـ EDI وفوائده.,5,0,C09
2.    التجارة الإلكترونية وأدوات ومستلزمات الـ EDI.,5,0,C09
3.    تطبيقات عملية.,0,5,C09
1.    فتح الملف وحفظه مع تحديد الهوامش ولغة الكتابة ونوع الخط وحجمه. ,1,4,C10
2.    حقول الجدولة وترقيم الفقرات والتعامل مع قائمة تحرير.,1,4,C10
3.    إدراج الجداول وتعديلها وتنسيق الخلايا مع ضبط الخلفيات والحدود.,2,8,C10
4.    إدراج الصور والأشكال وضبطها.,2,8,C10
5.    ضبط الطباعة وتغيير طرق العرض وتطبيقات عملية.,1,4,C10
1.    مراجعة على إمكانيات برنامج Windows في طرق التعامل مع الملفات.,1,4,C11
2.    مراجعة الإمكانيات الأساسية لبرنامج MS0Word.,1,4,C11
3.    دمج المراسلات في طباعة الخطابات والأظرف.,2,8,C11
4.    ترقيم الصفحات مع إضافة رأس وتذييل الصفحة وتحديد أنماط الخطوط.,1,4,C11
5.    تطبيقات عملية.,0,10,C11
1.    مقدمة عن البرنامج وطرق التعامل مع الملفات.,1,4,C12
2.    تنسيق الخلايا.,1,4,C12
3.    أشرطة الأدوات. ,1,4,C12
4.    إدراج المعادلات والدوال وربط أوراق العمل.,2,8,C12
5.    إدراج الرسومات البيانية وتنسيقها وتنسيق الطباعة.,2,8,C12
1.    مراجعة على إمكانيات برنامج   MS0Excelالأساسية.,1,4,C13
2.    قواعد البيانات والتصفية الثانية المتقدمة.,2,8,C13
3.    المجموعات الفرعية ودمج قواعد البيانات.,2,8,C13
